open,high,low,close,percent_change_next_weeks_price
15.82,16.72,15.78,16.42,-4.42849
16.71,16.71,15.64,15.97,-2.47066
16.19,16.38,15.6,15.79,1.63831
15.87,16.63,15.82,16.13,5.93325
16.18,17.39,16.18,17.14,0.230814
17.33,17.48,16.97,17.37,-0.632547
17.39,17.68,17.28,17.28,-1.76678
16.98,17.15,15.96,16.68,-1.36823
16.81,16.94,16.13,16.58,-3.31725
16.58,16.75,15.42,16.03,1.00313
15.95,16.33,15.43,16.11,4.33455
16.38,17.24,16.26,17.09,1.98482
43.3,45.6,43.11,44.36,4.63801
44.2,46.25,44.01,46.25,-0.065175
46.03,46.71,44.71,46,-4.7557
46.05,46.27,43.42,43.86,-0.70247
44.13,44.23,43.15,43.82,6.34668
43.96,46.79,43.88,46.75,-1.91728
46.42,46.93,45.53,45.53,-3.13752
44.94,45.12,43.01,43.53,-0.022868
43.73,44.68,42.75,43.72,0.957592
43.86,45.54,43.53,44.28,0.706794
43.86,44.47,42.19,44.17,1.87709
44.75,45.61,44.1,45.59,-0.395257
66.15,70.1,66,69.38,0.93633
69.42,70.5,68.35,70.07,1.15721
70.86,72.99,70.23,71.68,-3.2019
71.52,72.82,69,69.23,3.06093
69.26,71.64,69.12,71.38,0.99398
71.43,72.99,71.15,72.14,0.467675
72.7,73.04,71.09,73.04,-0.069109
72.35,74.29,70,72.3,-0.92452
72.47,72.9,68.6,71.8,0.055866
71.6,72.5,69.91,71.64,-2.90853
71.17,71.23,67.34,69.1,4.33917
70.29,73.5,70.03,73.34,0.693878
94.38,94.81,92.3,93.73,0.858277
93.21,94.7,92.51,94.01,-1.49745
94.16,96.8,92.37,92.75,3.20354
92.71,97.79,92.51,95.68,3.59929
96.13,99.72,95.85,99.59,3.93495
99.62,103.55,98.75,103.54,2.22093
103.56,105.86,102.01,105.86,-2.72745
104.86,105.3,98.03,102,0.311526
102.72,104.43,99.35,103.04,-3.28757
103.42,104.45,97.01,100.02,2.40764
102.59,105.64,98.55,105.06,2.04864
106.9,110.15,105.64,109.09,3.26821
20.45,21,20.38,20.97,1.2894
20.94,21.23,20.7,21.21,-2.35627
21.22,21.33,20.5,20.72,0.431862
20.84,21.61,20.73,20.93,5.35117
18.84,18.95,18.56,18.85,-0.480513
18.73,18.74,18.23,18.64,-1.18153
18.62,18.79,18.31,18.4,-2.23312
18.36,18.37,17.76,17.95,-3.76193
17.34,17.64,17.2,17.28,-1.84332
91.66,92.48,90.27,91.19,2.06707
90.95,92.85,90.12,92.83,0.903809
92.94,93.94,91.58,93.78,-0.55384
93.89,94.97,92.93,93.37,3.47363
93.85,97.44,93.37,97.11,-0.853207
97.28,98.23,95.7,96.45,3.37173
95.5,98.72,95.5,98.72,2.89227
99.23,103.94,99.23,102.1,1.43723
102.28,104.99,102.18,103.75,-4.0242
104.12,104.77,97.6,99.93,3.67084
99.16,103.97,97.98,102.8,2.81148
103.86,107.01,103.2,106.78,1.80451
50.05,50.54,49.28,49.76,3.10559
48.3,49.8,47.2,49.8,-2.38239
49.53,50.14,47.65,48.35,3.81916
48.44,50.66,48.26,50.29,4.74576
